14
42
0	1	1100000
1	0	1100000
0	2	1600000
2	0	1600000
0	7	2800000
7	0	2800000
1	2	600000
2	1	600000
1	3	1000000
3	1	1000000
2	5	2000000
5	2	2000000
3	4	600000
4	3	600000
3	10	2400000
10	3	2400000
4	5	1100000
5	4	1100000
4	6	800000
6	4	800000
5	9	1200000
9	5	1200000
5	12	2000000
12	5	2000000
6	7	700000
7	6	700000
7	8	700000
8	7	700000
8	9	900000
9	8	900000
8	11	500000
11	8	500000
8	13	500000
13	8	500000
10	11	800000
11	10	800000
10	13	800000
13	10	800000
11	12	300000
12	11	300000
12	13	300000
13	12	300000


//
Number of Nodes
Number of Links
SourceNode  DestinationNode LinkLength (m)

