75
198
0	18	336950.9334
0	21	761209.0776
1	10	277064.9613
1	55	234221.2201
2	18	1133443.119
2	19	647737.1779
2	21	436949.4668
2	27	943536.4333
3	8	266228.0948
3	13	439237.9644
3	25	554110.8875
4	56	282048.8176
4	57	143552.5064
5	43	179194.9651
5	45	384818.7539
5	58	67179.47405
6	56	500151.7957
6	36	147350.4058
7	9	729017.0987
7	19	880041.712
7	59	848857.9799
8	60	352382.908
8	36	582464.4304
9	35	738940.1642
10	61	79922.93577
11	16	336433.7393
11	48	126626.3824
12	25	379311.106
12	62	430181.8131
13	23	159883.4469
14	20	459145.2686
14	34	165326.4805
14	53	357573.0073
15	17	193215.3767
15	31	177492.5816
15	58	777050.7392
16	17	238963.0572
16	63	191243.6294
17	45	294713.5669
18	56	432731.2491
18	28	553958.2807
18	41	366936.1351
19	64	920337.3588
19	65	731271.7231
20	63	107243.6957
21	57	964453.1908
21	66	505748.5307
22	27	496199.0407
22	30	386670.7817
22	40	289941.0618
23	31	690409.1794
23	62	131097.2102
23	47	317896.5469
24	29	186270.7622
24	61	125559.9482
25	42	246577.0348
26	64	314032.2058
26	67	470865.7976
26	68	418438.3844
27	44	495900.3239
27	65	700005.1286
28	32	261343.3471
29	37	29361.52283
30	69	223844.5086
30	70	150676.6134
31	60	295118.2142
31	67	473801.6755
32	60	377836.3294
33	71	397114.9107
33	72	129825.0315
34	35	568333.8475
35	64	561327.0039
36	54	653359.3336
37	38	24213.53477
37	51	199575.0874
37	73	204151.6726
38	43	136060.4521
39	62	298655.8234
39	73	383669.0534
40	74	132649.0217
40	65	1135717.402
40	49	25719.91716
41	68	193358.7768
42	72	275792.8548
43	51	193408.9904
44	69	574675.0816
44	66	222458.2756
45	51	473565.3806
46	74	937740.4056
46	65	1221189.289
46	52	279081.7311
47	58	190144.6685
48	55	145265.921
49	50	77162.67231
50	70	446989.8708
51	55	223775.0822
52	59	444206.9519
53	67	144059.9684
54	71	394094.2686
18	0	336950.9334
21	0	761209.0776
10	1	277064.9613
55	1	234221.2201
18	2	1133443.119
19	2	647737.1779
21	2	436949.4668
27	2	943536.4333
8	3	266228.0948
13	3	439237.9644
25	3	554110.8875
56	4	282048.8176
57	4	143552.5064
43	5	179194.9651
45	5	384818.7539
58	5	67179.47405
56	6	500151.7957
36	6	147350.4058
9	7	729017.0987
19	7	880041.712
59	7	848857.9799
60	8	352382.908
36	8	582464.4304
35	9	738940.1642
61	10	79922.93577
16	11	336433.7393
48	11	126626.3824
25	12	379311.106
62	12	430181.8131
23	13	159883.4469
20	14	459145.2686
34	14	165326.4805
53	14	357573.0073
17	15	193215.3767
31	15	177492.5816
58	15	777050.7392
17	16	238963.0572
63	16	191243.6294
45	17	294713.5669
56	18	432731.2491
28	18	553958.2807
41	18	366936.1351
64	19	920337.3588
65	19	731271.7231
63	20	107243.6957
57	21	964453.1908
66	21	505748.5307
27	22	496199.0407
30	22	386670.7817
40	22	289941.0618
31	23	690409.1794
62	23	131097.2102
47	23	317896.5469
29	24	186270.7622
61	24	125559.9482
42	25	246577.0348
64	26	314032.2058
67	26	470865.7976
68	26	418438.3844
44	27	495900.3239
65	27	700005.1286
32	28	261343.3471
37	29	29361.52283
69	30	223844.5086
70	30	150676.6134
60	31	295118.2142
67	31	473801.6755
60	32	377836.3294
71	33	397114.9107
72	33	129825.0315
35	34	568333.8475
64	35	561327.0039
54	36	653359.3336
38	37	24213.53477
51	37	199575.0874
73	37	204151.6726
43	38	136060.4521
62	39	298655.8234
73	39	383669.0534
74	40	132649.0217
65	40	1135717.402
49	40	25719.91716
68	41	193358.7768
72	42	275792.8548
51	43	193408.9904
69	44	574675.0816
66	44	222458.2756
51	45	473565.3806
74	46	937740.4056
65	46	1221189.289
52	46	279081.7311
58	47	190144.6685
55	48	145265.921
50	49	77162.67231
70	50	446989.8708
55	51	223775.0822
59	52	444206.9519
67	53	144059.9684
71	54	394094.2686

//
Number of Nodes
Number of Links
SourceNode  DestinationNode LinkLength (m)

